ENTRYTYPE,ID,abstract,author,doi,eprint,journal,number,pages,title,url,volume,year,note
article,doi:10.1177/07356331211043547,"As a dynamic and multifaceted construct, computational thinking (CT) has proven to be challenging to conceptualize and assess, which impedes the development of a workable ontology framework. To address this issue, the current article describes a novel approach towards understanding the ontological aspects of CT by using text mining and graph-theoretic techniques to elucidate teachers’ perspectives collected in an online survey (N = 105). In particular, a hierarchical cluster analysis, a knowledge representation method, was applied to identify sub-groups in CT conceptualization and assessment amongst teachers. Five clusters in conceptualization and two clusters in assessment were identified; several relevant and distinct themes were also extracted. The results suggested that teachers attributed CT as a competence domain, relevant in the problem- solving context, as well as applicable and transferrable to various disciplines. The results also shed light on the importance of using multiple approaches to assess the diversity of CT. Overall, the findings collectively contributed to a comprehensive and multi-perspective representation of CT that refine both theory and practice. The methodology employed in this article has suggested a minor but significant step towards addressing the quintessential questions of “what is CT?” and “how is it evidenced?”.",Rina P.Y. Lai,10.1177/07356331211043547,https://doi-org.crai.referencistas.com/10.1177/07356331211043547,Journal of Educational Computing Research,3,661–695,Teachers’ Ontological Perspectives of Computational Thinking and Assessment: A Text Mining Approach,https://doi-org.crai.referencistas.com/10.1177/07356331211043547,60,2022d,
article,doi:10.1177/07356331241254575,"In the context of digital technologies, computational thinking (CT) is considered a key competence of primary school teachers. However, assessment tools to measure in-service teachers’ CT competence are rare. The current study explains the design, development, and validation of a scale to determine the in-service teachers’ mastery level of their Computational Thinking Competence (CTC) in the Chinese context. The validity and reliability of the scale have been studied by conducting exploratory factor analysis (EFA), confirmatory factor analysis (CFA) and calculating internal consistency coefficients. The sample of this study consisted of 631 in-service teachers from different Chinese primary schools (EFA N = 189; CFA N = 442). The 31-item scale mirrors five factors: cognitive knowledge of CT, practices and skills of CT, attitudes and perspectives of CT, CT teaching design, and CT teaching implementation. The discussion of the results looks at the future use of the CT scale in Chinese educational settings that mirror a specific national education policy, talent demand, and educational culture.",Xinlei Li and Guoyuan Sang and Martin Valcke and Johan van Braak,10.1177/07356331241254575,https://doi-org.crai.referencistas.com/10.1177/07356331241254575,Journal of Educational Computing Research,6,1538–1567,The Development of an Assessment Scale for Computational Thinking Competence of In-Service Primary School Teachers,https://doi-org.crai.referencistas.com/10.1177/07356331241254575,62,2024e,
article,doi:10.1177/07356331221100740,"This meta-analysis determined game-based learning’s (GBL) overall effect on students’ computational thinking (CT) and tested for moderators, using 28 effect sizes from 24 studies of 2,134 participants. The random effects model results showed that GBL had a significant positive overall effect on students’ CT (g = 0.677, 95% confidence interval 0.532–0.821) with significant heterogeneity among effect sizes. Among game types, role-playing yielded the largest GBL effect size, followed by action, puzzles, and adventures. Moreover, the effect of GBL on CT was weaker among students in countries that were more individualistic than others. Lastly, interventions between four hours and one week showed the largest GBL effect size, followed by those over four weeks, up to four hours, and between one week and four weeks.",Zhuotao Lu and Ming M. Chiu and Yunhuo Cui and Weijie Mao and Hao Lei,10.1177/07356331221100740,https://doi-org.crai.referencistas.com/10.1177/07356331221100740,Journal of Educational Computing Research,1,235–256,Effects of Game-Based Learning on Students’ Computational Thinking: A Meta-Analysis,https://doi-org.crai.referencistas.com/10.1177/07356331221100740,61,2023f,
article,doi:10.1177/0735633120967315,"This paper examines a method which can be used by instructors pursuing innovative methods for language teaching, which expands learners’ motivation in second language learning. Computational thinking (CT) is a problem-solving skill which can motivate students’ English language learning. Designing a learning activity which integrates CT into English language learning has been considered in only a few academic studies. This study aimed to explore whether integrating CT into English language learning can be useful for improving learners’ motivation and performance. The method of “present, practice, and produce” was applied as a method of presenting computational thinking in the English language learning classroom. Fifty-two elementary school students (52) participated in the experimental study. Following an experimental design, data were collected and analyzed from a combination of knowledge test scores, storytelling, motivation, and anxiety surveys. The experimental results indicate that the CT strategy improves students’ language learning and raises their motivation in the two dimensions of extrinsic and intrinsic goal orientation. These results imply the positive effect of CT strategy on strengthening problem-solving skills of students participating in digital storytelling and increases their motivation and performance in English language learning.",Nadia Parsazadeh and Pei-Yu Cheng and Ting-Ting Wu and Yueh-Min Huang,10.1177/0735633120967315,https://doi-org.crai.referencistas.com/10.1177/0735633120967315,Journal of Educational Computing Research,3,470–495,Integrating Computational Thinking Concept Into Digital Storytelling to Improve Learners’ Motivation and Performance,https://doi-org.crai.referencistas.com/10.1177/0735633120967315,59,2021g,
article,doi:10.1177/07356331241249956,"In the past decade, Computational Thinking (CT) education has received growing attention from researchers. Although many reviews have provided synthesized information on CT teaching and learning, few have paid particular attention to collaborative learning (CL) strategies. CL has been widely implemented in CT classes and has become the most popular pedagogy among educators. Therefore, a systematic review of CL in CT classes would provide practical guidance on teaching strategies to enhance CT interventions and improve the quality of teaching and learning, ultimately benefiting students’ CT skills development. To address this gap, this study examined 43 empirical studies that have applied CL strategies, ranging from 2006 to 2022. Several findings were revealed in the analysis. First, a wide range of theories and frameworks were applied to inform research questions, pedagogical design, and research methodologies. Second, despite the acknowledged importance of group composition in effective CL, a large number of studies did not provide details on how the students were grouped. Third, six types of CL activities and instructional designs have been identified in CT classrooms. The synthesized information provides valuable insights that can inform future research directions and guide the design and implementation of CL activities in future CT classes.",Stella Xin Yin and Dion Hoe-Lian Goh and Choon Lang Quek,10.1177/07356331241249956,https://doi-org.crai.referencistas.com/10.1177/07356331241249956,Journal of Educational Computing Research,6,1440–1474,Collaborative Learning in K-12 Computational Thinking Education: A Systematic Review,https://doi-org.crai.referencistas.com/10.1177/07356331241249956,62,2024h,
article,doi:10.1177/0735633121994070,"Due to the interdisciplinary nature of robotics, more and more attention has been paid to its effectiveness in the field of education in recent years. This systematic review evaluated existing studies in improving K-12 students’ computational thinking and STEM attitudes. Research articles published between 2010 and 2019 were collated from major databases according to six criteria, and 17 studies were eligible. A meta-analysis was conducted to evaluate the effectiveness of educational robots in terms of standardized mean differences (SMD) or mean differences (MD) of test scores as outcome measures. The overall effect size was medium (SMD = 0.46, 95% CI: 0.23–0.69). Subgroup analysis found that some groups to have better effectiveness. Specifically, the effect of STEM attitudes (SMD = 0.01) was smaller than computational thinking (SMD = 0.48). Educational robots had more significant effect on boys (MD = 0.39) than girls (MD = 0.27). The effect in primary school (SMD = 0.27) was higher than in middle school (SMD = 0.04), and the effect was great on short-term instruction with educational robots (SMD = 0.35). Based on these results, the study makes some recommendations for educators about strengthening the influence of educational robots on STEM attitudes, improving the persistence of their learning effects, and further exploring their application models.",Yanjun Zhang and Ronghua Luo and Yijin Zhu and Yuan Yin,10.1177/0735633121994070,https://doi-org.crai.referencistas.com/10.1177/0735633121994070,Journal of Educational Computing Research,7,1450–1481,Educational Robots Improve K-12 Students’ Computational Thinking and STEM Attitudes: Systematic Review,https://doi-org.crai.referencistas.com/10.1177/0735633121994070,59,2021i,
article,doi:10.1177/0735633115608444,"Computational thinking (CT) is a fundamental skill for students, and assessment is a critical factor in education. However, there is a lack of effective approaches to CT assessment. Therefore, we designed the Three-Dimensional Integrated Assessment (TDIA) framework in this article. The TDIA has two aims: one was to integrate three dimensions (directionality, openness, and process) into the design of effective assessment tasks; and the other was to assess comprehensively the three dimensions of CT including computational concepts, practices, and perspectives. Guided by the TDIA framework, we designed three pairs of tasks: closed forward tasks and closed reverse tasks, semiopen forward tasks and semiopen reverse tasks, and open tasks with a creative design report and open tasks without a creative design report. To further confirm each task’s applicability and its advantages and disadvantages, we conducted a test experiment at the end of the autumn semester in 2014 in a primary school for 3 weeks. The results indicated that (a) the reverse tasks were not more superior than the forward tasks; (b) the semiopen tasks and the open tasks were more effective than the closed tasks, and the semiopen tasks had higher difficulty and discrimination than the others; (c) the self-reports provided a helpful function for learning diagnosis and guidance; (d) the scores had no significant difference between the schoolboys and the schoolgirls in all six tasks; and (e) the six tasks’ difficulty and discrimination were all acceptable, and the semiopen tasks had higher difficulty and discrimination than the others. To effectively apply them, the following suggestions for teachers to design computational tasks are proposed: motivating students’ interest and enthusiasm, incorporating semifinished artifacts, involving learning diagnosis and guidance, and including multiple types of tasks in an assessment.",Baichang Zhong and Qiyun Wang and Jie Chen and Yi Li,10.1177/0735633115608444,https://doi-org.crai.referencistas.com/10.1177/0735633115608444,Journal of Educational Computing Research,4,562–590,An Exploration of Three-Dimensional Integrated Assessment for Computational Thinking,https://doi-org.crai.referencistas.com/10.1177/0735633115608444,53,2016j,
article,doi:10.1177/2053951715622512,"This article considers the issue of opacity as a problem for socially consequential mechanisms of classification and ranking, such as spam filters, credit card fraud detection, search engines, news trends, market segmentation and advertising, insurance or loan qualification, and credit scoring. These mechanisms of classification all frequently rely on computational algorithms, and in many cases on machine learning algorithms to do this work. In this article, I draw a distinction between three forms of opacity: (1) opacity as intentional corporate or state secrecy, (2) opacity as technical illiteracy, and (3) an opacity that arises from the characteristics of machine learning algorithms and the scale required to apply them usefully. The analysis in this article gets inside the algorithms themselves. I cite existing literatures in computer science, known industry practices (as they are publicly presented), and do some testing and manipulation of code as a form of lightweight code audit. I argue that recognizing the distinct forms of opacity that may be coming into play in a given application is a key to determining which of a variety of technical and non-technical solutions could help to prevent harm.",Jenna Burrell,10.1177/2053951715622512,https://doi-org.crai.referencistas.com/10.1177/2053951715622512,Big Data & Society,1,2053951715622512,How the machine ‘thinks’: Understanding opacity in machine learning algorithms,https://doi-org.crai.referencistas.com/10.1177/2053951715622512,3,2016a,
article,doi:10.1177/1069397110393894,"Mel Ember was co-Principal Investigator in the Mason-HRAF Joint Project on Eastern Africa, a multiyear project aimed at developing and analyzing advanced computational agent-based models of human societies across 10 countries and 12 ecosystems. A major unsolved challenge in this kind of social science research is to devise a systematic way to compare, contrast, and communicate different models of social dynamics along relevant dimensions and characteristics, given the inherent complexity of most computational agent-based models. This article proposes a viable systematic framework for comparing models and illustrates its application using some of the models that Mel helped inspire and develop as senior project participant.",Claudio Cioffi-Revilla,10.1177/1069397110393894,https://doi-org.crai.referencistas.com/10.1177/1069397110393894,Cross-Cultural Research,2,208–230,Comparing Agent-Based Computational Simulation Models in Cross-Cultural Research,https://doi-org.crai.referencistas.com/10.1177/1069397110393894,45,2011b,
article,doi:10.1177/14614448110130031102,,Adam Fish,10.1177/14614448110130031102,https://doi-org.crai.referencistas.com/10.1177/14614448110130031102,New Media & Society,3,510–513,"Book review: Jaron Lanier, You Are Not a Gadget: A Manifesto. New York: Alfred Knopf, 2010. ix + 224 pp. $24.95 (hbk) ISBN 9780307269645",https://doi-org.crai.referencistas.com/10.1177/14614448110130031102,13,2011c,
article,doi:10.1177/14782103231183485,"The Computer Science (CS) for All national movement is increasingly relying on state-level change to broaden participation in computing. To foster an environment in which all students have opportunities to thrive in CS education, policy action is necessary to help create the learning conditions for success. CS education in California has grown substantially in the last decade, yet opportunity gaps remain for young women and Black, Latinx, and Native American students. Early grassroots efforts to advance equity in computing evolved into the Computer Science for California coalition of K–16 educators, industry leaders, and other equity advocates to promote the growth of equity-minded teaching and learning opportunities in K–12 CS education. New policies at the state level reflect an increasing commitment among Sacramento policymakers to expand CS education. Yet troubling disparities in CS access and success continue to exist between traditionally advantaged students and their historically underserved peers. By drawing on interviews with 20 individuals involved in CS education policy, this study illuminates the contributing factors to recent policy successes and considerations for achieving further progress. Interviewees described the importance of tapping into the values of influential decision makers, educating policymakers about the benefits of CS education, and identifying the problems and solutions that require policy attention. To build the capacity of key policy actors in making informed decisions, this research demonstrates the continued value of providing useful information, developing relationships with policymakers, and creating resources that are easy to consume and understand. The interviews also suggest that attention to funding, disruptions from the COVID-19 pandemic, equity, and ongoing stakeholder support will shape prospects for CS education policy success moving forward.",Julie Flapan and Joel Knudson and Candice Handjojo and Ashley Sunde and Roxana Hadad,10.1177/14782103231183485,https://doi-org.crai.referencistas.com/10.1177/14782103231183485,Policy Futures in Education,0,14782103231183484,Power surge: How a multistakeholder coalition promotes equity in computer science education policy,https://doi-org.crai.referencistas.com/10.1177/14782103231183485,0,2023d,
article,doi:10.1177/1077546318788405,"The complex nature of the tire/road noise generation process makes it difficult to isolate and study each mechanism individually. This paper presents an experimental and numerical investigation of air-borne tire noise generation mechanisms for a realistic tire. Experimentally, a single slot is cut into the tire and the noise data are measured and studied. Air-borne noise is isolated by filling the slot with foam and comparing the resulting frequency spectra. Numerically, a previously developed computational fluid dynamics tire noise prediction model is employed to predict the air-borne noise for the same tire, under similar operating conditions. A direct comparison between the experimental and computational results is also presented in terms of pressure time traces and spectral characteristics. Comparisons indicate that the computational model is capable of predicting the noise generated by the air pockets in the tire. While providing a deeper understanding of the causes of air-borne noise, this paper also aims to demonstrate the use of a computational tool that can be used to obtain a reasonably accurate prediction of air-borne tire noise.",Prashanta Gautam and Yousof Azizi and Abhilash J. Chandy,10.1177/1077546318788405,https://doi-org.crai.referencistas.com/10.1177/1077546318788405,Journal of Vibration and Control,3,529–537,An experimental and computational investigation of air-borne noise generation mechanisms in tires,https://doi-org.crai.referencistas.com/10.1177/1077546318788405,25,2019e,
article,doi:10.1177/0040517515586162,"A three-dimensional computational model is established to simulate the air flow patterns in the rotor spinning unit of a rotor spinning machine. The effects of rotor speed, rotor diameter and rotor slide wall angle on air flow characteristics and hence yarn properties are investigated. The airstream accelerates from the transfer channel inlet to the outlet. There are velocity differences in both the cross-section and along the transfer channel, causing hooked fibers to straighten. The airstream swirls around the rotor at a high speed. However, vortices that can cause fiber curving and buckling are formed inside the rotor. The effect of rotor speed is significant. There are more vortices near the wall at a lower rotor speed, while too large a rotor speed can lead to an excessive centrifugal force, thus increasing yarn breakages. The rotor diameter affects the flow characteristics in a way similar to that of rotor speed. As a smaller slide wall angle generates higher velocities in the transfer channel and more stable velocities in the rotor groove, a small angle is preferable. Computational modeling has provided a useful insight into the rotor spinning flow pattern, thus it can be used to optimize the rotor design to produce better rotor spun yarn.",HT Lin and YC Zeng and J Wang,10.1177/0040517515586162,https://doi-org.crai.referencistas.com/10.1177/0040517515586162,Textile Research Journal,2,115–126,Computational simulation of air flow in the rotor spinning unit,https://doi-org.crai.referencistas.com/10.1177/0040517515586162,86,2016f,
article,doi:10.1177/0731948719865499,"The purpose of the study was to compare the deficit profiles of two important types of mathematics difficulties. Three cognitive measures (working memory, processing speed, and reasoning), two mathematics measures (numerical facts retrieval and mathematics vocabulary), and reading comprehension were assessed among 237 Chinese fourth-grade students, among whom 28 were classified as students with only computational difficulties (CD), 34 were classified as having only word problem-solving difficulties (WPD), 20 were classified as students with computational and word problem-solving difficulties (CD + WPD), and 43 typically developing (TD) peers. Multivariate analysis showed that, compared with TD, CD was associated with weakness in numerical working memory; WPD was associated with weakness in reading comprehension; both CD and WPD were associated with weakness in mathematics vocabulary. However, CD and WPD did not differ from each other on any of those profiling measures. Implications for understanding mathematics competence and identification of mathematics difficulties are discussed.",Xin Lin and Peng Peng and Hongjing Luo,10.1177/0731948719865499,https://doi-org.crai.referencistas.com/10.1177/0731948719865499,Learning Disability Quarterly,2,110–122,The Deficit Profile of Elementary Students With Computational Difficulties Versus Word Problem-Solving Difficulties,https://doi-org.crai.referencistas.com/10.1177/0731948719865499,44,2021g,
article,doi:10.1177/0954410016671343,"A fluid–structure interaction numerical simulation was performed to investigate the flow field around a flexible flapping wing using an in-house developed computational fluid dynamics/computational structural dynamics solver. The three-dimensional (3D) fluid–structure interaction of the flapping locomotion was predicted by loosely coupling preconditioned Navier–Stokes solutions and non-linear co-rotational structural solutions. The computational structural dynamic solver was specifically developed for highly flexible flapping wings by considering large geometric non-linear characteristics. The high fidelity of the developed methodology was validated by benchmark tests. Then, an analysis of flexible flapping wings was carried out with a specific focus on the unsteady aerodynamic mechanisms and effects of flexion on flexible flapping wings. Results demonstrate that the flexion will introduce different flow fields, and thus vary thrust generation and pressure distribution significantly. In the meanwhile, relationship between flapping frequency and flexion plays an important role on efficiency. Therefore, appropriate combination of frequency and flexion of flexible flapping wings provides higher efficiency. This study may give instruction for further design of flexible flapping wings.",Long Liu and Hongda Li and Haisong Ang and Tianhang Xiao,10.1177/0954410016671343,https://doi-org.crai.referencistas.com/10.1177/0954410016671343,"Proceedings of the Institution of Mechanical Engineers, Part G: Journal of Aerospace Engineering",1,85–95,Numerical investigation of flexible flapping wings using computational fluid dynamics/computational structural dynamics method,https://doi-org.crai.referencistas.com/10.1177/0954410016671343,232,2018h,
article,doi:10.1177/1059712309342757,"In this article we propose a computational model that describes how observed behavior can influence an observer’s own behavior, including the acquisition of new task descriptions. The sources of influence on our model’s behavior are: beliefs about the world’s possible states and actions causing transitions between them; baseline preferences for certain actions; a variable tendency to infer and share goals in observed behavior; and a variable tendency to act efficiently to reach rewarding states. Acting on these premises, our model is able to replicate key empirical studies of social learning in children and chimpanzees. We demonstrate how a simple artificial system can account for a variety of biological social transfer phenomena, such as goal-inference and over-imitation, by taking into account action constraints and incomplete knowledge about the world dynamics.",Manuel Lopes and Francisco S. Melo and Ben Kenward and José Santos-Victor,10.1177/1059712309342757,https://doi-org.crai.referencistas.com/10.1177/1059712309342757,Adaptive Behavior,6,467–483,A Computational Model of Social-Learning Mechanisms,https://doi-org.crai.referencistas.com/10.1177/1059712309342757,17,2009i,
article,doi:10.1243/095441005X30306,"Abstract Computational fluid dynamics (CFD) simulations of ship airwakes are discussed in this article. CFD is used to simulate the airwakes of landing helicopter assault (LHA) and landing platform dock-17 (LPD-17) classes of ships. The focus is on capturing the massively separated flow from sharp edges of blunt bodies, while ignoring the viscous effects. A parallel, finite-volume flow solver is used with unstructured grids on full-scale ship models for the CFD calculations. Both steady-state and time-accurate results are presented for a wind speed of 15.43 m/s (30 knot) and for six different wind-over-deck angles. The article also reviews other computational and experimental ship airwake research.",N Sezer-Uzol and A Sharma and L N Long,10.1243/095441005X30306,https://doi-org.crai.referencistas.com/10.1243/095441005X30306,"Proceedings of the Institution of Mechanical Engineers, Part G: Journal of Aerospace Engineering",5,369–392,Computational Fluid Dynamics Simulations of Ship Airwake,https://doi-org.crai.referencistas.com/10.1243/095441005X30306,219,2005j,
article,doi:10.1177/2053951715622512,"This article considers the issue of opacity as a problem for socially consequential mechanisms of classification and ranking, such as spam filters, credit card fraud detection, search engines, news trends, market segmentation and advertising, insurance or loan qualification, and credit scoring. These mechanisms of classification all frequently rely on computational algorithms, and in many cases on machine learning algorithms to do this work. In this article, I draw a distinction between three forms of opacity: (1) opacity as intentional corporate or state secrecy, (2) opacity as technical illiteracy, and (3) an opacity that arises from the characteristics of machine learning algorithms and the scale required to apply them usefully. The analysis in this article gets inside the algorithms themselves. I cite existing literatures in computer science, known industry practices (as they are publicly presented), and do some testing and manipulation of code as a form of lightweight code audit. I argue that recognizing the distinct forms of opacity that may be coming into play in a given application is a key to determining which of a variety of technical and non-technical solutions could help to prevent harm.",Jenna Burrell,10.1177/2053951715622512,https://doi-org.crai.referencistas.com/10.1177/2053951715622512,Big Data & Society,1,2053951715622512,How the machine ‘thinks’: Understanding opacity in machine learning algorithms,https://doi-org.crai.referencistas.com/10.1177/2053951715622512,3,2016a,
article,doi:10.1177/20539517221080146,"The size and variation in both meaning-making and populations that characterize much contemporary text data demand research processes that support both discovery, interpretation and measurement. We assess one dominant strategy within the social sciences that takes a computer-led approach to text analysis. The approach is coined computational grounded theory. This strategy, we argue, relies on a set of unwarranted assumptions, namely, that unsupervised models return natural clusters of meaning, that the researcher can understand text with limited immersion and that indirect validation is sufficient for ensuring unbiased and precise measurement. In response to this criticism, we develop a framework that is computer assisted. We argue that our reformulation of computational grounded theory better aligns with the principles within grounded theory, anthropological theory generation and ethnography.",Hjalmar Bang Carlsen and Snorre Ralund,10.1177/20539517221080146,https://doi-org.crai.referencistas.com/10.1177/20539517221080146,Big Data & Society,1,20539517221080144,Computational grounded theory revisited: From computer-led to computer-assisted text analysis,https://doi-org.crai.referencistas.com/10.1177/20539517221080146,9,2022b,
article,doi:10.1177/1069397110393894,"Mel Ember was co-Principal Investigator in the Mason-HRAF Joint Project on Eastern Africa, a multiyear project aimed at developing and analyzing advanced computational agent-based models of human societies across 10 countries and 12 ecosystems. A major unsolved challenge in this kind of social science research is to devise a systematic way to compare, contrast, and communicate different models of social dynamics along relevant dimensions and characteristics, given the inherent complexity of most computational agent-based models. This article proposes a viable systematic framework for comparing models and illustrates its application using some of the models that Mel helped inspire and develop as senior project participant.",Claudio Cioffi-Revilla,10.1177/1069397110393894,https://doi-org.crai.referencistas.com/10.1177/1069397110393894,Cross-Cultural Research,2,208–230,Comparing Agent-Based Computational Simulation Models in Cross-Cultural Research,https://doi-org.crai.referencistas.com/10.1177/1069397110393894,45,2011c,
article,doi:10.1177/20570473241284759,"This article proposes and tests a reproducible framework for a computational method to measure social media-based deliberative discourse by analyzing commentary surrounding the Canadian convoy protests of COVID-19 vaccine mandates and restrictions. Employing a combination of analytic calculations, alongside tools such as Google Perspective and Linguistic Inquiry and Word Count (LIWC), this article assesses the quality of online deliberative discourse using established measures of deliberation including the variables rationality, interactivity, equality, and civility. We propose computational approaches to measuring these variables, and work toward validating our approach by observing correlations between an established computational measure of online deliberation-cognitive complexity. This computational approach is tested using Twitter and Reddit commentary related to the convoy protests that took place in Ottawa, Canada, during February 2022, which influenced the emergence of similar protests around the world. In addition to testing our proposed online deliberative discourse measurement framework, this case study provides insight into the deliberative characteristics of the Twitter and Reddit social media platforms.",Stuart Duncan and Lauren Dwyer and Hanako Smith and Davis Vallesi and Frauke Zeller and Charles Davis,10.1177/20570473241284759,https://doi-org.crai.referencistas.com/10.1177/20570473241284759,Communication and the Public,0,20570473241284760,Toward a computational mixed methods framework to measure online deliberative discourse,https://doi-org.crai.referencistas.com/10.1177/20570473241284759,0,2024d,
article,doi:10.1177/14614448110130031102,,Adam Fish,10.1177/14614448110130031102,https://doi-org.crai.referencistas.com/10.1177/14614448110130031102,New Media & Society,3,510–513,"Book review: Jaron Lanier, You Are Not a Gadget: A Manifesto. New York: Alfred Knopf, 2010. ix + 224 pp. $24.95 (hbk) ISBN 9780307269645",https://doi-org.crai.referencistas.com/10.1177/14614448110130031102,13,2011e,
article,doi:10.1177/14782103231183485,"The Computer Science (CS) for All national movement is increasingly relying on state-level change to broaden participation in computing. To foster an environment in which all students have opportunities to thrive in CS education, policy action is necessary to help create the learning conditions for success. CS education in California has grown substantially in the last decade, yet opportunity gaps remain for young women and Black, Latinx, and Native American students. Early grassroots efforts to advance equity in computing evolved into the Computer Science for California coalition of K–16 educators, industry leaders, and other equity advocates to promote the growth of equity-minded teaching and learning opportunities in K–12 CS education. New policies at the state level reflect an increasing commitment among Sacramento policymakers to expand CS education. Yet troubling disparities in CS access and success continue to exist between traditionally advantaged students and their historically underserved peers. By drawing on interviews with 20 individuals involved in CS education policy, this study illuminates the contributing factors to recent policy successes and considerations for achieving further progress. Interviewees described the importance of tapping into the values of influential decision makers, educating policymakers about the benefits of CS education, and identifying the problems and solutions that require policy attention. To build the capacity of key policy actors in making informed decisions, this research demonstrates the continued value of providing useful information, developing relationships with policymakers, and creating resources that are easy to consume and understand. The interviews also suggest that attention to funding, disruptions from the COVID-19 pandemic, equity, and ongoing stakeholder support will shape prospects for CS education policy success moving forward.",Julie Flapan and Joel Knudson and Candice Handjojo and Ashley Sunde and Roxana Hadad,10.1177/14782103231183485,https://doi-org.crai.referencistas.com/10.1177/14782103231183485,Policy Futures in Education,0,14782103231183484,Power surge: How a multistakeholder coalition promotes equity in computer science education policy,https://doi-org.crai.referencistas.com/10.1177/14782103231183485,0,2023f,
article,doi:10.1177/1077546318788405,"The complex nature of the tire/road noise generation process makes it difficult to isolate and study each mechanism individually. This paper presents an experimental and numerical investigation of air-borne tire noise generation mechanisms for a realistic tire. Experimentally, a single slot is cut into the tire and the noise data are measured and studied. Air-borne noise is isolated by filling the slot with foam and comparing the resulting frequency spectra. Numerically, a previously developed computational fluid dynamics tire noise prediction model is employed to predict the air-borne noise for the same tire, under similar operating conditions. A direct comparison between the experimental and computational results is also presented in terms of pressure time traces and spectral characteristics. Comparisons indicate that the computational model is capable of predicting the noise generated by the air pockets in the tire. While providing a deeper understanding of the causes of air-borne noise, this paper also aims to demonstrate the use of a computational tool that can be used to obtain a reasonably accurate prediction of air-borne tire noise.",Prashanta Gautam and Yousof Azizi and Abhilash J. Chandy,10.1177/1077546318788405,https://doi-org.crai.referencistas.com/10.1177/1077546318788405,Journal of Vibration and Control,3,529–537,An experimental and computational investigation of air-borne noise generation mechanisms in tires,https://doi-org.crai.referencistas.com/10.1177/1077546318788405,25,2019g,
article,doi:10.1177/1059712312445902,"Recent neuroscientific evidence in human and non-human primates indicates that the regions that become active during motor execution and motor observation overlap extensively in the cerebral cortex. This suggests that to observe an action, these primates employ their motor and somatosensation areas in order to simulate it internally. In line with this finding, in the current paper, we examine relevant neuroscientific evidence in order to design a computational agent that can facilitate observational learning of reaching movements. For this reason, we develop a novel motor control system, inspired from contemporary theories of motor control, and demonstrate how it can be used during observation to facilitate learning, without the active involvement of the agent’s body. Our results show that novel motor skills can be acquired only by observation, by optimizing the peripheral components of the agent’s motion.",Emmanouil Hourdakis and Panos Trahanias,10.1177/1059712312445902,https://doi-org.crai.referencistas.com/10.1177/1059712312445902,Adaptive Behavior,4,237–256,Computational modeling of observational learning inspired by the cortical underpinnings of human primates,https://doi-org.crai.referencistas.com/10.1177/1059712312445902,20,2012h,
article,doi:10.1177/0731948719865499,"The purpose of the study was to compare the deficit profiles of two important types of mathematics difficulties. Three cognitive measures (working memory, processing speed, and reasoning), two mathematics measures (numerical facts retrieval and mathematics vocabulary), and reading comprehension were assessed among 237 Chinese fourth-grade students, among whom 28 were classified as students with only computational difficulties (CD), 34 were classified as having only word problem-solving difficulties (WPD), 20 were classified as students with computational and word problem-solving difficulties (CD + WPD), and 43 typically developing (TD) peers. Multivariate analysis showed that, compared with TD, CD was associated with weakness in numerical working memory; WPD was associated with weakness in reading comprehension; both CD and WPD were associated with weakness in mathematics vocabulary. However, CD and WPD did not differ from each other on any of those profiling measures. Implications for understanding mathematics competence and identification of mathematics difficulties are discussed.",Xin Lin and Peng Peng and Hongjing Luo,10.1177/0731948719865499,https://doi-org.crai.referencistas.com/10.1177/0731948719865499,Learning Disability Quarterly,2,110–122,The Deficit Profile of Elementary Students With Computational Difficulties Versus Word Problem-Solving Difficulties,https://doi-org.crai.referencistas.com/10.1177/0731948719865499,44,2021i,
article,doi:10.4137/BBI.S16803,"RNA-binding proteins (RBPs) are at the core of post-transcriptional regulation and thus of gene expression control at the RNA level. One of the principal challenges in the field of gene expression regulation is to understand RBPs mechanism of action. As a result of recent evolution of experimental techniques, it is now possible to obtain the RNA regions recognized by RBPs on a transcriptome-wide scale. In fact, CLIP-seq protocols use the joint action of CLIP, crosslinking immunoprecipitation, and high-throughput sequencing to recover the transcriptome-wide set of interaction regions for a particular protein. Nevertheless, computational methods are necessary to process CLIP-seq experimental data and are a key to advancement in the understanding of gene regulatory mechanisms. Considering the importance of computational methods in this area, we present a review of the current status of computational approaches used and proposed for CLIP-seq data.",Paula H. Reyes-Herrera and Elisa Ficarra,10.4137/BBI.S16803,https://doi-org.crai.referencistas.com/10.4137/BBI.S16803,Bioinformatics and Biology Insights, ,BBI.S16803,Computational Methods for CLIP-Seq Data Processing,https://doi-org.crai.referencistas.com/10.4137/BBI.S16803,8,2014j,PMID:25336930
