ENTRYTYPE,ID,abstract,annote,archiveprefix,arxivid,author,doi,editor,eprint,issn,journal,keywords,number,pages,pmid,publisher,title,url,volume,year
article,Borges-Rey2016,"The centrality of data in modern society has prompted a need to examine the increasingly powerful role of data brokers and their efforts to quantify the world. Practices and methods such as surveillance, biometrics, automation, data creeping, or profiling consumer behaviour, all offer opportunities and challenges to news reporting. Nonetheless, as most professional journalists display a degree of hesitancy towards numbers and computational literacy, there are only limited means to investigate the power dynamics underpinning data. This article discusses the extent to which current data journalism practices in the United Kingdom employ databases and algorithms as a means of holding data organisations accountable. Drawing on semi-structured interviews with data journalists, data editors, and news managers working for British mainstream media, the study looks at how data journalism operates within the news cycle of professional newsrooms in the United Kingdom. Additionally, it examines the innovations data journalism brings to storytelling, newsgathering, and the dissemination of news.",,,,"Borges-Rey, Eddy",10.1080/17512786.2016.1159921,,,17512794,Journalism Practice,"algorithms,big data,data brokers,data journalism,materiality,performativity,power,reflexivity",7,833--843,,Routledge,{Unravelling Data Journalism: A study of data journalism practice in British newsrooms},https://doi.org/10.1080/17512786.2016.1159921,10,2016
article,Su2023b,"Research Findings: This review focuses on the use of robotics in early childhood education (ECE), addressing gender and socioeconomic status (SES) differences in young children's robotics learning. This review systematically evaluates, synthesizes, and displays the research designs, robotic toys, data collection instruments, research methods, and research findings of 15 studies related to this critical issue published from 1984 to 2021. The findings of the review indicate that children's robotics-based learning is impacted by gender and their socioeconomic and cultural backgrounds. Boys had a considerably higher level of enjoyment in interacting with robotics than girls. Furthermore, low-income families and low parental education resulted in poor robotics-based learning experiences and outcomes for children. Practice or Policy: It is significant to devote attention to developing effective and inclusive robotics education programs for girls and children from less advantaged backgrounds. More robotics education interventions should be conducted in broader contexts to benefit a wider range of children, especially those from a lower-SES background.",,,,"Su, Jiahong and Yang, Weipeng and Zhong, Yuchun",10.1080/10409289.2022.2078617,,,10409289,Early Education and Development,,4,910--926,,Routledge,{Influences of Gender and Socioeconomic Status on Children's Use of Robotics in Early Childhood Education: A Systematic Review},https://doi.org/10.1080/10409289.2022.2078617,34,2023
article,Krajcsi2021,"An educational computer game is presented, used for beginner students to introduce some basic concepts of code execution and code writing. In this mini-language microworld game, a code should be written with which a robot can escape from a procedurally generated labyrinth. The game uses a simple language and utilizes a virtual environment, where code execution could be tracked easily. One essential advantage of the software is that after a very short training, students can start experimenting, and they can understand many basic properties of code writing and execution. Based on several pilot teaching classes in both primary schools and universities, the game is an efficient tool to introduce the bases of computer programming, which bases might be harder to demonstrate with other educational tools.",,,,"Krajcsi, Attila and Csapodi, Csaba and Stettner, Eleon{\'{o}}ra",10.1080/10494820.2019.1593862,,,17445191,Interactive Learning Environments,"AlgoTaurus,Computer programming,educational game,microworld,mini-language",4,634--647,,Routledge,{Algotaurus: an educational computer programming game for beginners},https://doi.org/10.1080/10494820.2019.1593862,29,2021
article,Missingham2023,"Digital Humanities is an evolving, cross cutting field within the humanities em- ploying computer based methods. Research in this field, therefore, is an interdis- ciplinary endeavor that often involves researchers from the humanities as well as from computer science. This collaboration influences the methods applied as well as the theories underlying and informing research within those different fields. These implications need to be addressed according to the traditions of different humanities' disciplines. Therefore, the edition addresses all humanities disci- plines in which digital methods are employed. Digital Humanities Research fur- thers publications from all those disciplines addressing the methodological and theoretical implications of the application of digital research in the humanities. The series is edited by Silke Schwandt, Anne Baillot, Andreas Fickers, Tobias Hodel and Peter Stadler.",,,,"Missingham, Roxanne",10.1080/24750158.2023.2168151,,,2475-0158,Journal of the Australian Library and Information Association,,1,100--101,,Routledge,"{Archives, access and artificial intelligence: working with born-digital and digitized archival collections}",https://doi.org/10.1080/24750158.2023.2168151,72,2023
article,Goncalves2021,"The use of Smart Homes has grown considerably in the past decade. Enabling end-users to develop rules to program their homes and devices is very important to empower them. Several studies have analysed trigger-action programming tools, primarily using form-based and data-flow approaches for programming interfaces. This study evaluated the usability of a block-based tool for end-user development of rules to control smart homes and compared the difficulties encountered by non-programmers and programmers. Evaluations involved 10 programmers and 10 non-programmers in Brazil. A thematic analysis of 247 problem instances (80 from programmers and 167 from non-programmers) yielded the following themes, with problems related to condition blocks, action blocks, states and actions, time-related tasks, block configuration and personalisation, information architecture, programming logic, conceptual model of smart homes, simulator and debugging, help and technical problems. Despite most non-programmers being able to experiment with blocks, their task completion rates were significantly lower than programmers. The analysis showed aspects where block-based programming can enhance the use for non-programmers. They also confirmed interaction aspects revealed by previous studies using form-based and data-flow approaches that also occur with block-based programming to design smart home rules, with important contributions to improve end-user development tools for smart homes.",,,,"Gon{\c{c}}alves, Mateus Carvalho and Lara, Ot{\'{a}}vio Neves and de Bettio, Raphael Winckler and Freire, Andr{\'{e}} Pimenta",10.1080/0144929X.2021.1921028,,,13623001,Behaviour and Information Technology,"End-user development,block-based programming,smart home,user testing",10,974--996,,Taylor & Francis,{End-user development of smart home rules using block-based programming: a comparative usability evaluation with programmers and non-programmers},https://doi.org/10.1080/0144929X.2021.1921028,40,2021
article,Solem2021,"To build educational capacity for the rapidly evolving science and profession of geocomputation, the American Association of Geographers piloted an Encoding Geography research-practice partnership (RPP) composed of geography and computer science educators and researchers. This commentary describes the process, known as Collective Impact, that was implemented to investigate the persistent problems of practice that have limited the participation of women and minorities in geocomputational education and careers. We also discuss the RPP's data-driven approach for developing an inclusive curriculum pathway aligned with student aspirations.",,,,"Solem, Michael and Dony, Coline and Herman, Thomas and Le{\'{o}}n, Kelly and Magdy, Amr and Nara, Atsushi and Ray, Waverly and Rey, Sergio and Russell, Rachel",10.1080/00221341.2021.1933140,,,17526868,Journal of Geography,"Careers,Computer science,Powerful knowledge,broadening participation,geography",4,152--159,,Routledge,{Building Educational Capacity for Inclusive Geocomputation: A Research-Practice Partnership in Southern California},https://doi.org/10.1080/00221341.2021.1933140,120,2021
article,BikangaAda2023,"Objective: This study explores postgraduate students' perceptions of the modified team-based learning instructional approach used to teach it and the extent to which the Bootcamp course improves their practical skills. Method: In the beginning, participants (n = 185) were asked to rate their practical experience on the taught topics. At the end of ProgSD in S1 and Semester 2 (S2) during the Covid19 lockdown, respondents (n = 150 and n = 43, respectively) were surveyed on their perceptions of ProgSD. Wilcoxon test, Mann-Whitney U Test and Kruskal-Wallis test were used to analyse data. Thematic Analysis was used to analyse students' comments. Findings: Results showed that students' practical experience significantly increased at the end of ProgSD with a p-value < 0.05. Median ratings of the modified TBL activities and perception of teamwork were positive overall, and many (66.5%) felt more confident about taking the courses in S2. Qualitative results supported these findings. Implications: Findings have implications for practitioners facing the challenges identified here. Given the current pandemic, the authors suggest approaches to redesign face-to-face activities (tAPP) for online teaching and learning.",,,,"{Bikanga Ada}, Mireilla and Foster, Mary Ellen",10.1080/08993408.2021.1959174,,,17445175,Computer Science Education,"Team-based learning,active learning,bootcamp,computing science,higher education,postgraduate education,programming",2,186--210,,Routledge,{Enhancing postgraduate students' technical skills: perceptions of modified team-based learning in a six-week multi-subject Bootcamp-style CS course},https://doi.org/10.1080/08993408.2021.1959174,33,2023
article,Andersen2022,"In this article, we investigate human-centered artificial intelligence (HCAI) in an educational context where pupils used block-based programming in small groups to solve tasks given by the teacher. We used a design-based research approach in which we, together with the teachers, created a maker space for explorative science learning and organised teaching interventions wherein the pupils met online three hours a week for 16 weeks for an entire school year. Due to COVID-19, data were collected through Zoom, with collaborative learning situations captured through screen sharing and online communication using webcams. We employed three data analysis techniques: interaction analysis, visual artifact analysis, and thematic analysis. We developed an analytical framework for integration using thematic coding that combined concepts from computer-supported collaborative learning (CSCL) and domain-oriented design environments. We report the following findings: 1) Three types of rules between design units were identified with visual artifact analysis: latent, generic, and domain-specific rules; 2) two types of CSCL artifacts (technology and discussions) were intertwined and developed in parallel, along with a computer-based scaffolding scenario that offloads domain-specific scaffolding from humans to computers.",,,,"Andersen, Renate and M{\o}rch, Anders I. and Litherland, Kristina Torine",10.1080/0144929X.2022.2083981,,,13623001,Behaviour and Information Technology,"Block-based programming,computer-supported collaborative learning,domain-oriented design environment,human-centered artificial intelligence,knowledge-based rules,physical computing in education",9,1830--1847,,Taylor & Francis,{Collaborative learning with block-based programming: investigating human-centered artificial intelligence in education},https://doi.org/10.1080/0144929X.2022.2083981,41,2022
article,Sun2023,"Coding ability has become an essential digital skill for young children. The graphical programming environment is valuable carrier for cultivating children's coding ability. The purpose of this study is to develop a coding ability test for children, to conduct a graphic coding intervention, and to further explore the impact of multiple factors on children's coding ability in ScratchJr intervention. First, the coding ability test for ScratchJr environment was developed based on Item Response Theory to measure kindergarten students' coding ability. The result showed that there are good reliability, content, and structural validity of the test question. Secondly, we conducted a 12-week ScratchJr coding activity teaching experiment on 162 kindergarten students. The analysis of the treated group and the control group showed that coding activity teaching can effectively improve the students' coding ability. Finally, this study analyzed the differences in children's coding ability in coding interest, and coding experience. The results showed that the coding ability was affected by coding experience and coding interest. More interestingly, it was found partial mediation effect among coding ability, coding experience and coding interest. Moreover, ScratchJr coding intervention can influence the direct effect of coding experience on coding ability by improving children's coding interest.",,,,"Sun, Lihui and Guo, Zhen and Zhou, Danhua",10.1080/10494820.2023.2190356,,,17445191,Interactive Learning Environments,"K-2,ScratchJr,coding ability test,coding intervention,influential factors",7,3732--3755,,Routledge,{Measuring development of young students' coding ability through a graphical teaching intervention: further explanation of the effect of coding experience and coding interest},https://doi.org/10.1080/10494820.2023.2190356,32,2023
article,Leonard2024,,,,,"Leonard, Nicholas and {Kwame Wor}, Johnson",10.1080/00043125.2024.2330342,,,23255161,Art Education,,4,20--26,,Routledge,{Addressing Algorithm Materiality and Bias Through Art: Exploring Social Media–Augmented Reality Features},https://doi.org/10.1080/00043125.2024.2330342,77,2024
article,Weinburgh2021,"The purpose of this study was to understand how biology teachers experienced and learned from professional development (PD) in which the 5R Instructional Model was used as a framework for planning inclusive lesson for emerging multilingual learners (EML). The PD integrated biology content with the scientific practices of using mathematical thinking and multimodal communication strategies to help EMLs. A case study was used to answer (1) How do biology teachers describe their personal PD experience of learning about science communication as multimodal language? And (2) how do biology teachers articulate their use of multimodal language during instructions using the 5R Instructional Model? Thirty-four biology teachers participated for two years. Data from three sources were analyzed using two phases of a priori and one phase of en vivo coding. Three themes emerged (removing the blindfold, vocabulary, and experiencing the Rs) as descriptors of the learning experience (Q1). Three themes also emerged (mathematics as {\^{a}}€˜a{\^{a}}€™ language of science, scaffolding for EMLs means intentional language, and integrating the 5Rs) for how the teachers articulated their use of the 5R Instructional Model (Q2).{\^{A}} Results indicate that science teachers experienced a change in their understanding of effective PD and of their role with EMLs. {\^{A}} They valued learning to include practices from Next Generation Science Standards with EMLs and beginning to see the language of science as multimodal rather than just terms. In addition, they began to systematically include the Rs in teaching.",,,,"Weinburgh, Molly and Silva, Cecilia and Smith, Kathy Horak",10.1080/1046560X.2020.1830503,,,15731847,Journal of Science Teacher Education,"5R instructional model,Situated learning,emergent multilingual,multimodality,professional development",4,378--399,,Routledge,{Multimodality and the 5R Instructional Model: Biology Teachers Learning to Engage Emergent Multilingual Learners},https://doi.org/10.1080/1046560X.2020.1830503,32,2021
article,Sias2017,"Students need to be prepared for the 21st century by developing the literacy skills necessary for participating in the age of synthesis—an age that requires a progressive set of skills and knowledge. The authors identified nine educational innovations that are perceived to be effective for preparing students for the 21st century age of synthesis society. They coded a collection of 39 teacher-generated Grade 3–5 science, technology, engineering, and mathematics (STEM) lesson plans to document the extent to which the teachers included these nine educational innovations their STEM lesson planning. The authors found practices such as project-based and student-centered learning (which are common established approaches to teaching STEM) to be strongly represented in the plans, whereas practices such as family involvement and place-based learning (which have not been traditionally used in STEM instruction) were less evident in the plans. In their discussion they explore the implications for STEM teaching, and potential directions for future research.",,,,"Sias, Christina M. and Nadelson, Louis S. and Juth, Stephanie M. and Seifert, Anne L.",10.1080/00220671.2016.1253539,,,19400675,Journal of Educational Research,"Curricular choice,STEM,innovation,instructional practices,lesson plans",3,227--238,,Routledge,{The best laid plans: Educational innovation in elementary teacher generated integrated STEM lesson plans},https://doi.org/10.1080/00220671.2016.1253539,110,2017
article,Toran2022,,,,,"Toran, Mehmet",10.1080/1350293X.2022.2060943,,,17521807,European Early Childhood Education Research Journal,,3,325--329,,Routledge,{From the uncertain times to today: unveiling the early childhood education research with keywords},https://doi.org/10.1080/1350293X.2022.2060943,30,2022
article,Lachney2017,"Bridging schools and communities has been a goal, if not hurdle, for reformers who aim to improve the education of low-income and underrepresented students from the bottom-up. Strategies to create these connections are often characterized as ‘brokerage', where individuals or organizations bridge two or more social worlds. This paper details the design and implementation of educational technologies that support the brokering of school–community connections using a ‘culturally responsive computing' (CRC) framework. Culturally responsive education is often limited to content and learning styles, which misses the opportunities it creates for a brokerage process that also connects to education-based social movements for economic access in underrepresented communities. This paper provides empirical support for the claim that the CRC framework is well suited for both purposes. It allows schools and communities to build assets together, translating the knowledge and skills of underrepresented communities into math and computing education, while illuminating the ways in which technologies can motivate education-based social movement building.",,,,"Lachney, Michael",10.1080/17439884.2016.1211679,,,17439892,"Learning, Media and Technology","Brokerage,cultural capital,culturally responsive computing,ethnocomputing,social movements",4,420--439,,Routledge,{Culturally responsive computing as brokerage: toward asset building with education-based social movements},https://doi.org/10.1080/17439884.2016.1211679,42,2017
article,Tran2024,"Although student teaching plays a crucial role in teacher preparation programs, limited research has examined the specific features of this experience that positively impact preservice science teachers' (PSTs) questioning competency. This multi-case study contributes to the existing body of research by presenting findings from an initiative in a teacher preparation program that integrates self-regulated learning (SRL) into professional learning (PL) and coaching to improve PSTs' questioning skills. Despite variability in their initial SRL skills, all participating PSTs experiened shared learning opportunities related to asking higher-level cognitive questions. The PL and coaching during student teaching appeared to contribute to PSTs' improvement in different aspects of asking questions. Coaching, in particular, enhanced PSTs' application of strategies learned in the PL and facilitated learning from the act of teaching. The findings suggest that to help PSTs develop to ask higher-level cognitive questions, teacher preparation programs need to provide detailed, memorable, and theory-grounded descriptions of questioning techniques. In addition, integrating SRL processes into coursework and coaching can significantly enhance PSTs' learning from teaching experience.",,,,"Tran, Hong H. and Cleary, Timothy J. and Capps, Daniel K. and Hodges, Georgia W.",10.1080/1046560X.2024.2381301,,,15731847,Journal of Science Teacher Education,"Asking questions,coaching,preservice science teachers,self-regulated learning,student teaching",0,1--22,,Routledge,{Coaching During Student Teaching: Using Self-Regulated Learning to Improve Questioning Skills for Preservice Science Teachers},https://doi.org/10.1080/1046560X.2024.2381301,0,2024
article,Larkin2023,"This article describes the conceptual development of a learning app, “Representations”, developed for preschool children (4–5 years of age). In this article we analyze how the app supported the development of logical reasoning via a variety of decoding, encoding, conditionals and debugging activities, which were supported in the game play by the children's own user generated content (UGC). Research such as this is important as logical reasoning in young children correlates positively with later mathematics achievement. The learning app is used within a broader program, which also included a range of off-device learning. Data indicates the success of our design and implementation in terms of children's engagement with the app and in terms of their early learning of important logical reasoning concepts.",,,,"Larkin, Kevin and Lommatsch, Christina and Resnick, Ilyse and Lowrie, Thomas",10.1080/15391523.2022.2107590,,,19450818,Journal of Research on Technology in Education,"Digital devices,decoding,encoding,logical reasoning,play-based learning,user generated content",6,1080--1093,,Routledge,{The design and use of a digital tool to support the development of preschool children's logical reasoning},https://doi.org/10.1080/15391523.2022.2107590,55,2023
article,Smolarczyk2023,"FabLabs and makerspaces offer unprecedented opportunities for digital empowerment, especially for children and adolescents. However, reviews on making with regard to empowerment are lacking. We identified n = 180 publications on digital making with children and adolescents and, after categorizing them regarding formal criteria and formality of settings, identified the main topics in publications on digital making in non-formal settings. Results revealed a great demand for empirical studies with experimental designs. Three main topics emerged: domain-specific determinants of participation, equity, and skills and competencies. Implications for further research and limitations as well as implications for digital empowerment processes are discussed.",,,,"Smolarczyk, Kathrin and Kr{\""{o}}ner, Stephan",10.1080/15391523.2021.1974987,,,19450818,Journal of Research on Technology in Education,"Maker movement,children,digital empowerment,maker education,scoping review",3,459--476,,Routledge,{Two decades in the making: A scoping review on research on digital making and its potential for digital empowerment in non-formal settings},https://doi.org/10.1080/15391523.2021.1974987,55,2023
article,Barrett-Zahn2024,,,,,"Barrett-Zahn, Elizabeth",10.1080/00368148.2024.2293459,,,0036-8148,Science and Children,,1,5--5,,Routledge,{Making Science Accessible for All},https://doi.org/10.1080/00368148.2024.2293459,61,2024
article,McCarthy2024,"To meet the demands of industry, undergraduate business curricula must evolve to prepare analytics-enabled professionals in fields such as finance, accounting, human resource management, and marketing. In this article, we provide a case study of developing a rigorous, integrated finance and data analytics course that was delivered using a simultaneous team-teaching approach within a regional, teaching university. This case study describes developing the learning outcomes; defining the integrated teaching approach; identifying and developing course content and materials; and planning the course delivery. Next, we describe the course delivery, including student achievement of course learning outcomes, and a summary of student feedback from end-of-course evaluations is provided. Finally, we present lessons learned from delivering the course and provide considerations for future work such as scaling this course and replicating it in other business domains.",,,,"McCarthy, Katie A. and Kuhlemeyer, Gregory A.",10.1080/26939169.2023.2197470,,,26939169,Journal of Statistics and Data Science Education,"Analytics,Business,Data science,Finance,Interdisciplinary,Team teaching,Undergraduate",1,98--107,,Taylor & Francis,{Preparing Analytics-Enabled Professionals in Finance Using a Simultaneous Team-Teaching Approach: A Case Study},https://doi.org/10.1080/26939169.2023.2197470,32,2024
article,Mikkonen2019,,,,,"Mikkonen, Jussi",10.1080/14606925.2019.1594967,,,14606925,Design Journal,,sup1,1423--1437,,Routledge,{Bodygramming. Embodying the computational behaviour as a collective effort},https://doi.org/10.1080/14606925.2019.1594967,22,2019
article,Tuttle2016,"This pilot study investigates the impact of a 2-week professional development Summer Institute on PK-3 teachers' knowledge and practices. This Summer Institute is a component of [program], a large-scale early-childhood science project that aims to transform PK-3 science teaching. The mixed-methods study examined concept maps, lesson plans, and classroom observations to measure possible changes in PK-3 teachers' science content knowledge and classroom practice from 11 teachers who attended the 2014 Summer Institute. Analysis of the concept maps demonstrated statistically significant growth in teachers' science content knowledge. Analysis of teachers' lesson plans demonstrated that the teachers could design high quality science inquiry lessons aligned to the Next Generation Science Standards following the professional development. Finally, examination of teachers' pre- and post-Summer Institute videotaped inquiry lessons showed evidence that teachers were incorporating new inquiry practices into their teaching, especially regarding classroom discourse. Our results suggest that an immersive inquiry experience is effective at beginning a shift towards reform-aligned science and engineering instruction but that early elementary educators require additional support for full mastery.",,,,"Tuttle, Nicole and Kaderavek, Joan N. and Molitor, Scott and Czerniak, Charlene M. and Johnson-Whitt, Eugenia and Bloomquist, Debra and Namatovu, Winnifred and Wilson, Grant",10.1007/s10972-016-9484-1,,,15731847,Journal of Science Teacher Education,"Early childhood,Engineering education,Framework,Next Generation Science Standards,Professional development,Science education",7,717--745,,Routledge,{Investigating the Impact of NGSS-Aligned Professional Development on PreK-3 Teachers' Science Content Knowledge and Pedagogy},https://doi.org/10.1007/s10972-016-9484-1,27,2016
article,Xiang2022,"Over the past year, educators have developed curricula teaching about the COVID-19 pandemic (Reed 2020; Royce 2020; Sadler et al. 2020). Many of these curricula feature computer simulations of epidemic dynamics (Kelter 2020; Sadler et al. 2020). Because an epidemic pattern is an emergent property of interacting human behaviors, it is crucial for students to recognize the mechanism of its emergence. This article describes an eight-day unit in which students develop their own epidemic simulations and use them to investigate how individual human behaviors and interactions give rise to the epidemic dynamics at the population level. NetLogo (Wilensky 1999), a beginner-friendly, agent-based computer modeling tool, is used to empower students to design and modify their simulations. They collect data, identify patterns, and use mathematical and computational thinking to understand infectious disease spread and control.",,,,"Xiang, Lin and Diamond, Scott",10.1080/00368555.2022.12293672,,,0036-8555,The Science Teacher,,3,70--78,,Routledge,{Developing and Using Computer Models to Understand Epidemics},https://doi.org/10.1080/00368555.2022.12293672,89,2022
article,Fagan2023,"As schools collaborate with other educational and cultural institutions, students, families, and teachers benefit from expanded learning experiences. In 2020, digital technology learning was added to the New Zealand school curriculum so that every student, beginning at five years of age, would develop an understanding of computational thinking and digital devices. This was a new curriculum area and many teachers still needed to learn about it themselves in order to teach it. As part of their support for teachers, the New Zealand Ministry of Education provided a range of professional learning opportunities. One of these was an equity fund for students from low socio-economic communities to help them learn and engage with a range of digital technologies. This articles examines a program by the Museum of New Zealand Te Papa Tongarewa (Te Papa) and its five partner museums and galleries provided engaging and learning experiences for students and to support teachers in understanding the specifics of the curriculum.",,,,"Fagan, Tara",10.1080/00094056.2023.2169546,,,0009-4056,Childhood Education,,1,24--31,,Routledge,{Weaving Learning and Digital Technologies at New Zealand Museums},https://doi.org/10.1080/00094056.2023.2169546,99,2023
article,Domenach2021,"This discussion examines the ever-increasing impact of top-down nation-wide educational reforms on teachers in Japan, exemplified in the 2020 reform. Its unique contribution is a suggestion of an interdisciplinary framework: programming education and English as a foreign language education in elementary schools. Many elementary school teachers are not specialists in computer programming or English education as discipline specialties, yet they face the obligation to teach both subject areas under the authority of the Japanese Ministry of Education, Culture, Sports, Science, and Technology. Their lack of training in these curricular areas creates a high level of anxiety as they initially perceived daunting new challenges in their work performances. Concerning programming education, many teachers are not even digital natives, working in schools where “IT rooms [are] covered with dust”. The research highlighted here resulted from the authors' engagement in professional development workshops for teachers, Integrated Programming English Education, demonstrating how much these two disciplines share commonalities and how teachers can effectively use them in their daily teaching. The study results reveal how interdisciplinary frameworks can disrupt deficit norms in teaching single-disciplinary subjects overly used in Japanese education, and simultaneously increase teacher agency through the connectivity of programming and English language education.",,,,"Domenach, Florent and Araki, Naoko and Agnello, Mary Frances",10.1080/15427587.2020.1807986,,,15427595,Critical Inquiry in Language Studies,,1,26--40,,Routledge,{Disrupting discipline based learning: integrating English and programming education},https://doi.org/10.1080/15427587.2020.1807986,18,2021
article,Peng2024,,,,,"Peng, Renzhong and Hu, Qiqin",10.1080/03323315.2022.2104908,,,0332-3315,Irish Educational Studies,,3,603--606,,Routledge,"{ Expanding global horizons through technology enhanced language learning Expanding global horizons through technology enhanced language learning , by Yun Wen, Yi-ju Wu, Grace Qi, Siao-Cing Guo, J. Michael Spector, Shobhana Chelliah, Kinshuk, and Yu-Ju Lan}",https://doi.org/10.1080/03323315.2022.2104908,43,2024
article,Grimes2024,"All libraries, especially public libraries, must continue to play a leading role in closing the digital divide. Through this article, the authors present a brief history of libraries and the digital divide, how libraries address the digital divide through digital equity, ways the U.S. government has addressed the digital divide, insights shared from serving on the New Jersey Broadband Access Commission, strategies that public libraries can implement to bring about digital inclusion, the need for libraries to address the technology needs of youth, the importance of public-private partnerships and examples of initiatives and the resources created that address digital equity.",,,,"Grimes, Neil D. and Porter, William",10.1080/01616846.2023.2251348,,,15411540,Public Library Quarterly,"Digital divide,digital equity,digital inclusion,digital literacy,public libraries",3,307--338,,Routledge,{Closing the Digital Divide Through Digital Equity: The Role of Libraries and Librarians},https://doi.org/10.1080/01616846.2023.2251348,43,2024
article,Rosyidah2024,,,,,"Rosyidah, Dyana Maftuhatu and Mannan, Muyassaroh and Gultom, Aryadi Manuel",10.1080/08832323.2024.2336621,,,0883-2323,Journal of Education for Business,,5,352--354,,Routledge,"{ Transforming entrepreneurship education: Interdisciplinary insights on innovative methods and formats  Transforming entrepreneurship education: Interdisciplinary insights on innovative methods and formats  , edited by Jantje Halberstadt, Antonieta Alcort}",https://doi.org/10.1080/08832323.2024.2336621,99,2024
article,Royce2022,,,,,"Royce, Christine Anne",10.1080/19434812.2022.12291814,,,0036-8148,Science and Children,,1,14--18,,Routledge,{Teaching Through Trade Books: Starting with Science},https://doi.org/10.1080/19434812.2022.12291814,60,2022
article,Gurjar2021,,,,,"Gurjar, Nandita",10.1080/00094056.2021.1930924,,,21620725,Childhood Education,,3,48--53,,Routledge,{The Italian Makerspace},https://doi.org/10.1080/00094056.2021.1930924,97,2021
article,Kafai2015,"There has been considerable interest in examining the educational potential of playing video games. One crucial element, however, has traditionally been left out of these discussions—namely, children's learning through making their own games. In this article, we review and synthesize 55 studies from the last decade on making games and learning. We found that the majority of studies focused on teaching coding and academic content through game making, and that few studies explicitly examined the roles of collaboration and identity in the game making process. We argue that future discussions of serious gaming ought to be more inclusive of constructionist approaches to realize the full potential of serious gaming. Making games, we contend, not only more genuinely introduces children to a range of technical skills but also better connects them to each other, addressing the persistent issues of access and diversity present in traditional digital gaming cultures.",PMID: 27019536,,,"Kafai, Yasmin B. and Burke, Quinn",10.1080/00461520.2015.1124022,,,00461520,Educational Psychologist,,4,313--334,,Routledge,{Constructionist Gaming: Understanding the Benefits of Making Games for Learning},https://doi.org/10.1080/00461520.2015.1124022,50,2015
article,Appel2019,"As librarians are developing library instruction curricula for map and geography libraries, there are many places where one can find guidance. Instructional frameworks can help organize and teach key competencies and develop literacy of geospatial information for learners. The Association of College and Research Libraries (ACRL) Framework for Information Literacy for Higher Education has become the quintessential guiding document for information literacy instruction in academic libraries. One does not teach the framework directly, rather the instructor (librarian) identifies threshold concepts, knowledge practices, and dispositions guided by six core concepts and disciplinary context. Librarians in special collections must consider how to apply such frameworks to specific disciplines, collections, institutions, and curricula. This paper focuses on geospatial information literacy instruction, best represented by librarians offering instruction services on geospatial data and/or technologies to classes ranging from GIScience courses to humanities classes incorporating digital scholarship. The unique blend of geographic literacy incorporating geography, primary-source, map, and spatial literacies as well as data and digital literacies, including data information literacy and the emerging Cyber GIScience literacy make GIScience a discipline where map and geography librarians are well positioned to impact the success of learners and advance pedagogy development.",,,,"Appel, Stephen",10.1080/15420353.2020.1760175,,,15420361,Journal of Map and Geography Libraries,"GIScience,information literacy,library instruction,pedagogical frameworks",2-3,134--151,,Routledge,"{Geospatial Information Literacy Instruction: Frameworks, Competency, and Threshold Concepts}",https://doi.org/10.1080/15420353.2020.1760175,15,2019
article,DeFreitas2016,"Children and animals of all kinds are said to develop some degree of number sense. The search for ‘number neurons' and neural correlates of computational thinking aims to identify biological primitives to explain the emergence of number sense. This work typically looks for the sources of number sense in organisms, but one might extend this search and study the possibility of a calculating matter more generally. Such a speculative project explores the implications of the non-human turn within the posthumanities. In this paper, I draw primarily on the work of Vicky Kirby and Gilles Deleuze in order to focus on becoming-monster through calculation. I show how calculation, as a machinic and empirical act that both serves and troubles images of mathematical truth, has always played a unique role in the production of mathematical monsters. I then discuss calculating children who participate in abacus clubs and annual abacus competitions, calculating at inhuman rates with imaginary abacuses. I argue that a new materialist philosophy of immanence demands a radically new approach to number sense.",,,,"de Freitas, Elizabeth",10.1080/01596306.2015.1075703,,,14693739,Discourse,"Deleuze,Kirby,Number,calculation,computation,immanence",5,650--661,,Routledge,"{Number sense and the calculating child: Measure, multiplicity and mathematical monsters}",https://doi.org/10.1080/01596306.2015.1075703,37,2016
article,Pacheco-Guffrey2020,,,,,"Pacheco-Guffrey, Heather",10.1080/19434812.2020.12291562,,,0036-8148,Science and Children,,8,12--15,,Routledge,{Tech Talk: Hacking and Tracking Healthy Living},https://doi.org/10.1080/19434812.2020.12291562,57,2020
